date,spec,ukr_cpi_yoy_actual,ukr_cpi_yoy_counterfactual,ukr_ip_yoy_actual,ukr_ip_yoy_counterfactual,inflation_gap
2007-01-01,baseline_no_fx_aic,10.852659978255907,14.57537940158374,11.703239289446188,6.03729847135972,-3.722719423327833
2007-02-01,baseline_no_fx_aic,9.545948858669394,13.563857557581064,7.786885245901653,2.4181361417675924,-4.01790869891167
2007-03-01,baseline_no_fx_aic,10.095326736596544,14.3917523603949,6.859205776173294,1.936682415342485,-4.296425623798356
2007-04-01,baseline_no_fx_aic,10.53747664316922,14.492481195259062,9.177820267686432,3.938261274819352,-3.955004552089841
2007-05-01,baseline_no_fx_aic,10.64746418211766,14.47836691343032,5.539906103286385,1.0563153956727365,-3.8309027313126585
2007-06-01,baseline_no_fx_aic,12.968739654469807,16.598115284969342,6.959706959706957,4.634142441424724,-3.629375630499535
2007-07-01,baseline_no_fx_aic,13.528545103699074,16.948456827049128,5.595026642984036,4.223325412491786,-3.4199117233500544
2007-08-01,baseline_no_fx_aic,14.209716374321268,17.018469789019658,9.48121645796065,9.619597213635384,-2.8087534146983906
2007-09-01,baseline_no_fx_aic,14.43365699466308,17.303421378934733,5.296229802513452,7.985097202843011,-2.8697643842716527
2007-10-01,baseline_no_fx_aic,14.768258330904803,17.613311369874715,13.93034825870647,16.564314302693003,-2.845053038969912
2007-11-01,baseline_no_fx_aic,15.21921415931702,18.297565039278517,4.0131040131040185,5.478222731335492,-3.078350879961498
2007-12-01,baseline_no_fx_aic,16.589512048228585,19.52950507418877,0.2429149797570806,3.3864503151608085,-2.9399930259601845
2008-01-01,baseline_no_fx_aic,19.373739201619156,22.02668954385224,4.957904583723094,7.89339652022677,-2.6529503422330833
2008-02-01,baseline_no_fx_aic,21.86563634201084,24.251307938610438,7.22433460076044,11.35148955835604,-2.3856715965995967
2008-03-01,baseline_no_fx_aic,26.244042438130965,28.379655743791435,2.3648648648648685,5.92763578074585,-2.1356133056604705
2008-04-01,baseline_no_fx_aic,30.15760775371303,29.437014569587866,2.889667250437822,3.8607357751137443,0.720593184125164
2008-05-01,baseline_no_fx_aic,31.063276992555956,31.358446888456548,4.893238434163694,4.062432071640138,-0.2951698959005924
2008-06-01,baseline_no_fx_aic,29.26788963649354,31.328695862114476,0.7705479452054798,0.45609448106728,-2.0608062256209365
2008-07-01,baseline_no_fx_aic,26.845710244882692,29.718919938529343,2.8595458368376736,1.4331922718427856,-2.8732096936466505
2008-08-01,baseline_no_fx_aic,25.96308601852666,29.005061534694,-3.3496732026143894,-4.08499076450285,-3.0419755161673407
2008-09-01,baseline_no_fx_aic,24.60731894787715,27.478173653411467,-1.449275362318847,-3.0625137517033822,-2.8708547055343168
2008-10-01,baseline_no_fx_aic,23.15417237122548,25.795945999824774,-21.10625909752547,-24.09198321378527,-2.6417736285992923
2008-11-01,baseline_no_fx_aic,22.31065064265545,22.86287916057003,-27.244094488188978,-29.258945029665853,-0.5522285179145818
2008-12-01,baseline_no_fx_aic,22.31065064265545,21.159385847246497,-24.313408723747976,-25.241535137342733,1.1512647954089523
2009-01-01,baseline_no_fx_aic,22.31065064265543,20.080231400091932,-30.83778966131908,-30.65856813466226,2.230419242563496
2009-02-01,baseline_no_fx_aic,20.881509641962246,17.515984466058327,-27.748226950354603,-28.192032488892135,3.365525175903919
2009-03-01,baseline_no_fx_aic,18.086561442148085,14.785812029749769,-26.567656765676578,-26.777767166458347,3.300749412398316
2009-04-01,baseline_no_fx_aic,15.56677060633116,12.877408172754597,-28.595744680851055,-28.786048309425677,2.6893624335765622
2009-05-01,baseline_no_fx_aic,14.654101144484532,12.81716906440263,-29.34690415606447,-28.62855461796168,1.8369320800819011
2009-06-01,baseline_no_fx_aic,14.995333588366911,14.612979127385634,-26.423109600679705,-26.777991571333978,0.38235446098127746
2009-07-01,baseline_no_fx_aic,15.457626386712152,15.583514056010197,-25.347506132461163,-27.08199938283822,-0.12588766929804507
2009-08-01,baseline_no_fx_aic,15.342053187125826,16.77905609381735,-23.584108199492803,-26.421184635865334,-1.4370029066915233
2009-09-01,baseline_no_fx_aic,14.999791901704109,16.9712199266021,-19.55017301038062,-22.99779477706639,-1.9714280248979907
2009-10-01,baseline_no_fx_aic,14.0951721030673,16.767304458607875,-8.210332103321038,-11.25008265728257,-2.6721323555405743
2009-11-01,baseline_no_fx_aic,13.6455359568483,17.148350758384368,4.978354978354971,2.7480267172574546,-3.5028148015360667
2009-12-01,baseline_no_fx_aic,12.309839158139036,15.895544089048693,5.336179295624333,3.082161065951072,-3.5857049309096567
2010-01-01,baseline_no_fx_aic,11.109248068984968,14.792955758717099,13.144329896907214,10.755466748046276,-3.683707689732131
2010-02-01,baseline_no_fx_aic,11.547117026892328,14.896912198859356,8.220858895705518,5.923035863408778,-3.3497951719670276
2010-03-01,baseline_no_fx_aic,10.997081933071362,14.31883644308578,13.707865168539325,11.396548680096823,-3.3217545100144186
2010-04-01,baseline_no_fx_aic,9.676997707901048,13.012952643325686,17.640047675804517,15.597634268580315,-3.3359549354246383
2010-05-01,baseline_no_fx_aic,8.476552956869288,11.076212703619069,15.12605042016808,13.064320649858862,-2.599659746749781
2010-06-01,baseline_no_fx_aic,6.867108550981027,8.977247473526823,12.93302540415704,9.6154563990606,-2.1101389225457963
2010-07-01,baseline_no_fx_aic,6.7601344683473785,8.50998727939077,8.54326396495071,8.415531878919333,-1.7498528110433922
2010-08-01,baseline_no_fx_aic,8.257771625218012,9.505586890019298,10.287610619469012,12.95317388177777,-1.247815264801286
2010-09-01,baseline_no_fx_aic,10.51314186741006,11.40179022239419,11.18279569892473,14.769661820961478,-0.8886483549841309
2010-10-01,baseline_no_fx_aic,10.075032286171547,10.90903206619001,10.452261306532671,13.192869286364534,-0.8339997800184626
2010-11-01,baseline_no_fx_aic,9.204013237418462,9.984679009700791,11.23711340206186,13.93293858974237,-0.7806657722823296
2010-12-01,baseline_no_fx_aic,9.095783293674732,10.25064908295769,11.854103343465038,15.49706883582676,-1.1548657892829581
2011-01-01,baseline_no_fx_aic,8.238449043822671,9.675946751618785,9.56719817767655,13.400757277377998,-1.4374977077961137
2011-02-01,baseline_no_fx_aic,7.176246403549613,8.837159170783066,10.317460317460302,14.06994162187386,-1.6609127672334525
2011-03-01,baseline_no_fx_aic,7.707347723686131,9.86779898287464,8.794466403162037,10.458291173399854,-2.16045125918851
