date,UKR_CPI_MOM_INDEX,UKR_CPI_LEVEL,UKR_CPI_YOY,AT,BE,DE,ES,FI,FR,GR,IE,IT,NL,PT,EA_HICP_YOY,UKR_IP_LEVEL,UKR_IP_YOY,EA_IP_LEVEL,EA_IP_YOY,UAH_USD,log_uah_usd,dlog_uah_usd,UAH_EUR,log_uah_eur,dlog_uah_eur,NBU_POLICY_RATE,ECB_REFI_RATE,OIL_PRICE,WHEAT_PRICE,dlog_oil,dlog_wheat,CRISIS_0809,CRISIS_1415,WAR_2022PLUS,POST_2016_IT
2000-01-01,104.6,104.60000000000001,,1.4,0.3,1.7,2.9,2.3,1.7,2.3,4.5,2.2,1.6,1.9,2.0727272727272723,66.7,,95.7,2.682403433476388,5.38105806451613,1.6828850211043564,,5.451918774193548,1.6959676153728918,,45.0,3.0,25.31,105.83,0.008331728419294304,0.035293821381348955,0,0,0,0
2000-02-01,103.3,108.05179999999999,,1.9,2.1,1.7,3.0,2.7,1.4,2.6,4.6,2.4,1.5,1.6,2.3181818181818183,71.7,,96.8,5.908096280087527,5.543113793103449,1.7125563993814574,0.02967137827710098,5.451663034482759,1.6959207060699995,-4.6909302892306215e-05,35.0,3.25,27.22096666667,107.93,0.07278793513894488,0.019648835731622682,0,0,0,0
2000-03-01,102.0,110.21283599999998,,1.9,2.5,1.4,3.0,3.2,1.6,2.8,5.0,2.5,1.6,1.4,2.4454545454545453,76.9,,97.4,5.183585313174954,5.467974193548388,1.6989081993093056,-0.01364820007215184,5.279729161290323,1.6638748011923596,-0.03204590487763981,34.225806451612904,3.5,27.49,105.7,0.009834792481176802,-0.020877975961063555,0,0,0,0
2000-04-01,101.7,112.08645421199999,,1.8,2.3,1.0,3.0,2.5,1.3,2.1,5.1,2.4,1.7,1.9,2.2818181818181817,73.9,,97.9,5.49568965517242,5.42275,1.6906030668516083,-0.008305132457697262,5.1320006,1.635495563666867,-0.02837923752549254,29.9,3.75,23.47,105.11,-0.15809929231422215,-0.005597472040928864,0,0,0,0
2000-05-01,102.1,114.44026975045199,,1.6,2.4,0.8,3.2,2.7,1.5,2.6,5.1,2.5,2.0,2.4,2.436363636363636,74.7,,99.9,7.41935483870968,5.404077419354839,1.6871537463008166,-0.0034493205507917235,4.888981225806451,1.586983943500457,-0.048511620166410196,29.0,3.75,27.18666666667,112.14,0.14700364717533487,0.06474066986026372,0,0,0,0
2000-06-01,103.7,118.6745597312187,,2.4,3.0,1.4,3.5,3.1,1.8,2.2,5.4,2.8,2.5,2.8,2.8090909090909095,75.8,,98.0,4.47761194029852,5.43604,1.693050854613554,0.005897108312737487,5.148376266666667,1.6386813769360355,0.051697433435578644,29.0,4.25,29.62076666667,113.51,0.08574903487863716,0.012142848071721168,0,0,0,0
2000-07-01,99.9,118.55588517148749,,1.9,1.7,1.3,3.7,2.9,1.9,2.6,5.9,2.8,2.8,3.3,2.8000000000000003,79.4,,99.1,5.090137857900312,5.438564516129032,1.693515150334955,0.00046429572140094244,5.1172484516129035,1.6326168827995855,-0.006064494136450049,29.0,4.25,28.17666666667,108.98,-0.04998147964405941,-0.04072655961229543,0,0,0,0
2000-08-01,100.0,118.55588517148749,,1.9,3.5,1.0,3.6,2.9,2.0,2.9,5.7,2.8,2.5,3.6,2.9454545454545453,82.8,,99.7,5.726405090137865,5.438458064516129,1.6934955766672315,-1.957366772353808e-05,4.920734967741936,1.59345790303497,-0.039158979764615465,27.903225806451612,4.25,29.2629,108.36,0.037826289822822545,-0.00570536193805804,0,0,0,0
2000-09-01,102.6,121.63833818594618,,2.3,4.0,1.5,3.7,3.4,2.3,3.0,5.5,2.8,2.9,3.6,3.1818181818181817,82.6,,99.3,4.636459430979967,5.43901,1.6935970590124005,0.00010148234516904608,4.756123533333334,1.5594329526992294,-0.0340249503357406,27.0,4.25,32.08283333333,117.49,0.09200059786698978,0.08089420636258637,0,0,0,0
2000-10-01,101.4,123.34127492054942,,2.2,3.7,1.5,4.0,3.4,2.1,3.8,5.9,2.7,3.2,3.7,3.290909090909091,94.1,,99.4,3.757828810020891,5.438716129032258,1.6935430273215257,-5.4031690874811744e-05,4.657314612903226,1.5384390187085404,-0.02099393399068905,27.0,4.25,31.40016666667,128.18,-0.02150789920680385,0.08708230249659987,0,0,0,0
2000-11-01,100.4,123.83464002023163,,2.3,3.7,1.4,4.1,3.3,2.3,4.0,5.9,2.9,2.9,3.6,3.309090909090909,89.2,,100.0,4.058272632674309,5.437093333333333,1.6932446043459148,-0.00029842297561089026,4.655711033333334,1.538094645215617,-0.0003443734929233777,27.0,4.25,32.331,127.73,0.02921332152695122,-0.0035168650213952546,0,0,0,0
