date,UKR_IP_YOY,UKR_CPI_YOY,EA_IP_YOY,EA_HICP_YOY,dlog_uah_usd,dlog_uah_eur,dlog_oil,dlog_wheat,NBU_POLICY_RATE,ECB_REFI_RATE,CRISIS_0809,CRISIS_1415,WAR_2022PLUS,POST_2016_IT
2001-01-01,19.34032983508245,22.08722196411439,4.702194357366762,2.909090909090909,-0.0005057331368329976,0.043571018414555907,0.029422667028269345,0.036412254665501465,27.0,4.25,0,0,0,0
2001-02-01,11.297071129707103,18.896171632041714,4.132231404958686,2.881818181818182,-0.0006505831460665856,-0.01996728604525999,0.048191821604904206,-0.036256126640203945,27.0,4.25,0,0,0,0
2001-03-01,16.51495448634588,17.26426339395486,2.566735112936347,2.9545454545454537,-0.001508780832438772,-0.012891505580169271,-0.08486520350637594,0.016182459906126212,25.580645161290324,4.25,0,0,0,0
2001-04-01,19.350473612990516,17.03365520635609,1.1235955056179803,3.372727272727273,-0.000588168824617652,-0.021817637995702244,0.027412688163414245,-0.00407896821367526,21.8,4.25,0,0,0,0
2001-05-01,19.14323962516733,15.085004727895734,0.10010010010008674,3.6181818181818177,-0.0008283796610839556,-0.016462203950561305,0.0686961625060385,0.03924444174564279,21.0,4.25,0,0,0,0
2001-06-01,15.699208443271772,11.644662252905613,1.73469387755103,3.472727272727273,-0.0023030292023134002,-0.030900938308275228,-0.021309307881729467,-0.05824073115182671,19.666666666666668,4.25,0,0,0,0
2001-07-01,12.09068010075567,9.85655955416036,-1.1099899091826404,3.1727272727272724,-0.005586818835622287,0.0017758619791559127,-0.08358597517556632,-0.027409890610890386,19.0,4.25,0,0,0,0
2001-08-01,10.869565217391308,9.636846435052071,0.30090270812437314,2.9818181818181815,-0.004568826453465791,0.040246791473238286,0.04020227307501134,-0.015221489605382388,17.516129032258064,4.25,0,0,0,0
2001-09-01,13.075060532687676,7.285958889661037,-0.40281973816715944,2.8909090909090907,-0.001439536737485092,0.012782922191235446,-0.024046107319673826,0.0009018242054121828,15.6,4.25,0,0,0,0
2001-10-01,11.689691817215731,6.016302571440213,-1.5090543259557387,2.8272727272727276,-0.005387473831053757,-0.012387322506019371,-0.19547537315947094,0.010677853419598371,15.0,4.25,0,0,0,0
2001-11-01,8.071748878923767,6.121896498304169,-2.7000000000000024,2.6181818181818186,-0.0043425954836990854,-0.022281900220076256,-0.10378147215374289,0.015526638292753248,15.0,4.25,0,0,0,0
2001-12-01,1.8038331454340417,6.121896498304169,-3.4448818897637845,2.772727272727273,0.0013231995324511914,0.0033563035664740948,-0.009051474097570011,-0.022850293778888364,13.225806451612904,4.25,0,0,0,0
2002-01-01,3.266331658291466,5.599128535258346,-2.59481037924153,3.263636363636364,0.003452423772915436,-0.004665905909543744,0.03371412318772915,0.023169553099982032,12.5,4.25,0,0,0,0
2002-02-01,5.63909774436091,3.4997422820723045,-2.67857142857143,3.0,0.0015816556159604644,-0.0142470219116273,0.041939363679431185,-0.016332476165333176,12.5,4.25,0,0,0,0
2002-03-01,3.90625,2.1622704633178946,-1.1011011011011096,3.0727272727272723,0.0002528355058513121,0.0063973051831602845,0.16847504442132166,-0.00602068371435216,11.82258064516129,4.25,0,0,0,0
2002-04-01,6.349206349206349,2.0616179801028256,-0.909090909090915,2.9818181818181815,0.0009523971405520637,0.01120349151736355,0.0731280001258181,0.009583440519360664,10.15,4.25,0,0,0,0
2002-05-01,3.0337078651685445,1.350032994185768,-1.5000000000000013,2.690909090909091,8.529265426537869e-05,0.03198825741664324,0.009317956868853727,-0.018435957347439746,10.0,4.25,0,0,0,0
2002-06-01,7.8677309007981755,-1.0678604370870648,-0.7021063189568744,2.481818181818182,0.00026440943002592476,0.0429497365755136,-0.04722879999661034,0.08344417902168022,10.0,4.25,0,0,0,0
2002-07-01,8.089887640449444,-0.8665742935206056,0.3061224489795844,2.5727272727272728,-8.70256227651911e-05,0.040728550358573035,0.05043345249960085,0.12299551204746262,8.258064516129032,4.25,0,0,0,0
2002-08-01,5.228758169934644,-0.8665742935206278,-1.0999999999999899,2.727272727272727,5.508549603328028e-05,-0.015048005181814261,0.038879524413049094,0.07699328771830327,8.0,4.25,0,0,0,0
2002-09-01,6.745182012847972,-1.0640512371589916,0.4044489383215222,2.6454545454545455,6.508979215769095e-05,0.003507224861229341,0.05468437782461111,0.1525725673828564,8.0,4.25,0,0,0,0
2002-10-01,4.852521408182686,-0.5703588780629487,0.6128702757916216,2.7636363636363637,2.994068878914291e-05,-0.000260124112763771,-0.027022407902693946,0.013116329354970091,8.0,4.25,0,0,0,0
2002-11-01,9.336099585062229,-0.37248894548197464,2.0554984583761593,2.7636363636363637,0.0001526755012690728,0.02079033661250196,-0.11475495407389547,-0.07041254204639547,8.0,4.25,0,0,0,0
2002-12-01,14.174972314507194,-0.5686060932270864,0.0,2.7454545454545456,0.0002231209146910107,0.01572027636550488,0.1277545185385982,-0.08773940667617719,7.129032258064516,4.25,0,0,0,0
2003-01-01,12.652068126520666,-0.07637146992623967,1.3319672131147708,2.6181818181818177,0.0002044804208047868,0.04021408118632719,0.0977402568847241,-0.08253637722571039,7.0,4.25,0,0,0,0
2003-02-01,10.201660735468575,2.457189091181089,0.9174311926605672,2.9272727272727277,0.0002197741484935012,0.018842034957957665,0.06706695948318542,0.008189199098311839,7.0,4.25,0,0,0,0
2003-03-01,11.600429645542443,4.314419104918521,0.30364372469635637,2.809090909090909,0.00011649916019962347,0.0010094773961490944,-0.07986746673989664,-0.061728772909038554,7.0,4.25,0,0,0,0
2003-04-01,13.85927505330491,3.5942998408806215,0.8154943934760572,2.4636363636363634,-8.248535889565645e-05,0.00480325983433838,-0.1722289303303972,-0.022775053120857258,7.0,4.25,0,0,0,0
2003-05-01,13.522355507088314,3.9060178945643065,-1.3197969543147225,2.190909090909091,-0.00015398281168543804,0.05701293050783662,0.019719188309475832,0.023854094211139376,7.0,4.25,0,0,0,0
2003-06-01,17.124735729386884,5.916419462789091,-1.5151515151515138,2.272727272727273,-4.976018535374216e-05,0.01609397112340538,0.06865087062633313,-0.07767117432989146,7.0,4.25,0,0,0,0
2003-07-01,22.14137214137213,7.4218305008388885,0.6103763987792554,2.2181818181818183,-0.00016014459909863277,-0.025892355618897023,0.023871595771695286,0.002012395999977379,7.0,4.25,0,0,0,0
2003-08-01,19.461697722567294,5.8072739301850085,-1.921132457027308,2.3,-7.804500296626493e-05,-0.01914753710327588,0.037211126421121676,0.12214728691337218,7.0,4.25,0,0,0,0
2003-09-01,19.458375125376115,6.229658257251569,-1.8126888217522619,2.3363636363636364,-2.4362581689585383e-05,0.0028674330796347736,-0.09885445156736061,-0.02102542558935827,7.0,4.25,0,0,0,0
