date,ukr_ip_yoy_actual,ukr_cpi_yoy_actual,ukr_ip_yoy_counterfactual,ukr_cpi_yoy_counterfactual,inflation_gap_actual_minus_cf
2007-01-01,11.703239289446188,10.852659978255907,6.037298471359679,14.575379401583733,-3.722719423327826
2007-02-01,7.786885245901653,9.545948858669394,2.4181361417675666,13.56385755758104,-4.017908698911645
2007-03-01,6.859205776173294,10.095326736596544,1.9366824153424744,14.391752360394852,-4.296425623798308
2007-04-01,9.177820267686432,10.53747664316922,3.93826127481938,14.492481195258991,-3.95500455208977
2007-05-01,5.539906103286385,10.64746418211766,1.0563153956727964,14.478366913430223,-3.8309027313125625
2007-06-01,6.959706959706957,12.968739654469807,4.634142441424844,16.598115284969232,-3.6293756304994247
2007-07-01,5.595026642984036,13.528545103699074,4.22332541249195,16.948456827049007,-3.4199117233499337
2007-08-01,9.48121645796065,14.209716374321268,9.619597213635572,17.018469789019534,-2.8087534146982662
2007-09-01,5.296229802513452,14.43365699466308,7.985097202843257,17.30342137893461,-2.8697643842715284
2007-10-01,13.93034825870647,14.768258330904803,16.56431430269324,17.613311369874598,-2.8450530389697946
2007-11-01,4.0131040131040185,15.21921415931702,5.478222731335716,18.297565039278393,-3.0783508799613735
2007-12-01,0.2429149797570806,16.589512048228585,3.386450315161036,19.52950507418866,-2.9399930259600744
2008-01-01,4.957904583723094,19.37373920161916,7.893396520226976,22.02668954385215,-2.652950342232991
2008-02-01,7.22433460076044,21.86563634201084,11.351489558356244,24.251307938610353,-2.3856715965995114
2008-03-01,2.3648648648648685,26.244042438130965,5.927635780746044,28.379655743791357,-2.1356133056603923
2008-04-01,2.889667250437822,30.157607753713037,3.5760349255574893,31.85892716540922,-1.7013194116961827
2008-05-01,4.893238434163694,31.06327699255596,3.851323845606382,33.0896517750473,-2.0263747824913416
2008-06-01,0.7705479452054798,29.26788963649354,0.36274743568377055,31.781479700058554,-2.5135900635650152
2008-07-01,2.8595458368376736,26.84571024488269,1.629636616925886,29.497787079101997,-2.652076834219308
2008-08-01,-3.3496732026143894,25.96308601852666,-4.008206632929298,27.989979736646685,-2.026893718120025
2008-09-01,-1.449275362318847,24.607318947877157,-2.8852364937259956,25.65813055964245,-1.050811611765294
2008-10-01,-21.10625909752547,23.15417237122548,-23.62961165056659,22.175902722372403,0.9782696488530789
2008-11-01,-27.24409448818897,22.31065064265545,-28.73159867782531,18.84994495529489,3.4607056873605586
2008-12-01,-24.313408723747976,22.31065064265545,-24.644099616610987,16.429628653539435,5.8810219891160145
2009-01-01,-30.83778966131908,22.31065064265543,-30.164652648148596,15.335647444514924,6.975003198140504
2009-02-01,-27.748226950354603,20.881509641962246,-27.66736097167761,13.173556265595984,7.707953376366262
2009-03-01,-26.56765676567657,18.086561442148085,-26.389382972224254,10.773831391260456,7.3127300508876285
2009-04-01,-28.595744680851052,15.56677060633116,-28.492100781907475,9.488340863203948,6.078429743127211
2009-05-01,-29.34690415606447,14.654101144484532,-28.46045816398051,10.055801874934204,4.598299269550328
2009-06-01,-26.423109600679705,14.995333588366911,-26.740913161609544,12.414232281423768,2.581101306943143
2009-07-01,-25.347506132461163,15.457626386712152,-27.14984982522566,13.971888982374523,1.4857374043376286
2009-08-01,-23.584108199492803,15.342053187125826,-26.581784470162056,15.652739402968333,-0.310686215842507
2009-09-01,-19.55017301038062,14.999791901704109,-23.233281415525134,16.25057953034156,-1.2507876286374522
2009-10-01,-8.210332103321038,14.0951721030673,-11.531340760078713,16.391274686800227,-2.2961025837329263
2009-11-01,4.978354978354971,13.6455359568483,2.437197448738276,17.023376881922523,-3.3778409250742225
2009-12-01,5.336179295624333,12.309839158139036,2.761441681793972,15.957466983382663,-3.6476278252436263
2010-01-01,13.144329896907214,11.109248068984968,10.441111296450764,14.984511036319928,-3.87526296733496
2010-02-01,8.220858895705518,11.547117026892328,5.625259073587445,15.16274307658643,-3.615626049694102
2010-03-01,13.707865168539325,10.997081933071362,11.124435439781063,14.623042390510227,-3.6259604574388646
2010-04-01,17.640047675804517,9.676997707901048,15.356324248127276,13.325306403161662,-3.6483086952606136
2010-05-01,15.12605042016808,8.476552956869288,12.855829560703466,11.374323087959521,-2.8977701310902333
2010-06-01,12.93302540415704,6.867108550981027,9.44045331300626,9.248712323887833,-2.3816037729068062
2010-07-01,8.54326396495071,6.7601344683473785,8.272494709058448,8.74624217369364,-1.986107705346261
2010-08-01,10.287610619469012,8.257771625218012,12.839514555579381,9.703218593598173,-1.4454469683801605
2010-09-01,11.18279569892473,10.51314186741006,14.682244423320286,11.561271014542195,-1.0481291471321352
2010-10-01,10.452261306532671,10.075032286171547,13.127986151537538,11.03242275877339,-0.9573904726018423
2010-11-01,11.23711340206186,9.204013237418462,13.886902375054134,10.07592440049676,-0.8719111630782983
2010-12-01,11.854103343465038,9.095783293674732,15.466338218576094,10.314438595549062,-1.21865530187433
2011-01-01,9.56719817767655,8.238449043822671,13.382013372558012,9.71702290476465,-1.4785738609419798
2011-02-01,10.317460317460302,7.176246403549613,14.060287837090018,8.860312817406873,-1.68406641385726
2011-03-01,8.794466403162037,7.707347723686131,10.455233880758135,9.877361520970746,-2.170013797284615
2011-04-01,5.572441742654499,9.435850796483503,7.502277473513129,11.806384887660192,-2.3705340911766886
2011-05-01,8.967674661105306,10.977200807701571,11.525931098039838,12.98864637172758,-2.0114455640260083
2011-06-01,7.873210633946837,11.868583946719236,9.13865280108954,13.609268574627537,-1.7406846279083013
2011-07-01,9.182643794147328,10.635563482376645,9.182326594792176,12.068817897801203,-1.4332544154245586
2011-08-01,10.43129388164492,8.886384613090037,11.606344746875017,9.682896029610852,-0.7965114165208149
2011-09-01,8.317214700193421,5.923489793686221,8.962743231821685,6.674966271686693,-0.7514764780004723
2011-10-01,7.734303912647866,5.396507257399241,7.199507646391536,5.803165886151289,-0.40665862875204795
2011-11-01,6.394810009267826,5.186344730465242,5.30387825959141,5.48797302752978,-0.3016282970645374
2011-12-01,3.532608695652173,4.560235535641044,2.2605642468984946,4.772907543963296,-0.21267200832225175
2012-01-01,2.3908523908523938,3.732035650210208,1.4092933594868615,3.9456257381357975,-0.21359008792558942
2012-02-01,2.9804727646454365,3.0123882274634584,1.980897507070134,3.552205850819033,-0.5398176233555745
2012-03-01,0.1816530426884677,1.8948968364357333,-0.6345043318561281,2.72118962140446,-0.8262927849687269
2012-04-01,1.151631477927073,0.5872624249118719,-0.22684572451586238,1.4689568311942593,-0.8816944062823875
2012-05-01,2.966507177033484,-0.510416034090122,2.0555443884201314,0.14559148735359906,-0.6560075214437211
2012-06-01,-0.1895734597156417,-1.2040685119400818,0.07417096881037333,-1.1095020848773594,-0.09456642706272245
2012-07-01,1.4787430683918634,-0.1029993666830764,4.233998788251656,-0.012365618410291601,-0.0906337482727848
2012-08-01,-2.543142597638504,-0.0027011732761428,-0.3931354103408107,0.33403696633305724,-0.3367381396092
2012-09-01,-4.107142857142854,-0.0027011732761539,-2.1220094156348974,0.365830554038721,-0.3685317273148749
2012-10-01,-2.871621621621623,-0.0027011732761539,-0.810056564845099,0.4513934960237791,-0.454094669299933
2012-11-01,-2.526132404181181,-0.2024959761267375,-0.38324727862033825,0.2193957580606145,-0.42189173418735204
2012-12-01,-5.686789151356075,-0.2024959761267264,-4.368629089512621,0.19232678935197778,-0.3948227654787042
2013-01-01,-3.350253807106596,-0.2024959761267042,-2.812425147048413,0.22177831555406835,-0.4242742916807726
2013-02-01,-5.688622754491024,-0.5012908983538678,-5.946482888410062,-0.007865539259839904,-0.49342535909402785
2013-03-01,-4.623753399818675,-0.7988942157067469,-5.040182974555709,-0.37836934264287814,-0.42052487306386876
